Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T16:08:23.884Z,25.69,898.50,MiB,DURING
2025-04-03T16:08:24.886Z,33.18,881.90,MiB,DURING
2025-04-03T16:08:25.886Z,47.80,1002.00,MiB,DURING
2025-04-03T16:08:26.887Z,72.63,922.60,MiB,DURING
2025-04-03T16:08:27.888Z,100.72,971.20,MiB,DURING
2025-04-03T16:08:28.889Z,101.73,1.00,GiB,DURING
2025-04-03T16:08:29.890Z,101.12,1.08,GiB,DURING
2025-04-03T16:08:30.891Z,100.80,1.12,GiB,DURING
2025-04-03T16:08:31.892Z,100.89,1.15,GiB,DURING
2025-04-03T16:08:32.893Z,101.45,1.20,GiB,DURING
2025-04-03T16:08:33.894Z,100.92,1.26,GiB,DURING
2025-04-03T16:08:34.895Z,101.07,1.34,GiB,DURING
2025-04-03T16:08:35.896Z,101.32,1.40,GiB,DURING
2025-04-03T16:08:36.897Z,129.89,857.40,MiB,DURING
2025-04-03T16:08:37.898Z,6.76,790.90,MiB,DURING
2025-04-03T16:08:38.898Z,56.41,808.90,MiB,DURING
2025-04-03T16:08:39.899Z,16.70,821.60,MiB,DURING
2025-04-03T16:08:40.900Z,10.09,830.10,MiB,DURING
2025-04-03T16:08:41.901Z,50.98,807.20,MiB,DURING
2025-04-03T16:08:42.902Z,6.47,801.10,MiB,DURING
2025-04-03T16:08:43.903Z,30.89,822.00,MiB,DURING
2025-04-03T16:08:44.904Z,33.30,831.30,MiB,DURING
2025-04-03T16:08:45.905Z,11.00,743.50,MiB,DURING
2025-04-03T16:08:46.906Z,13.58,743.60,MiB,DURING
2025-04-03T16:08:47.906Z,28.78,661.90,MiB,DURING
2025-04-03T16:08:48.907Z,10.18,639.50,MiB,DURING
2025-04-03T16:08:49.908Z,5.28,641.90,MiB,DURING
2025-04-03T16:08:50.909Z,27.26,645.40,MiB,DURING
2025-04-03T16:08:51.909Z,27.18,657.30,MiB,DURING
2025-04-03T16:08:52.910Z,68.18,657.20,MiB,DURING
2025-04-03T16:08:53.910Z,38.09,618.50,MiB,DURING
2025-04-03T16:08:54.911Z,18.64,623.50,MiB,DURING
2025-04-03T16:08:55.912Z,13.45,627.30,MiB,DURING
2025-04-03T16:08:56.913Z,83.87,695.20,MiB,DURING
2025-04-03T16:08:57.914Z,43.91,663.50,MiB,DURING
2025-04-03T16:08:58.914Z,43.97,676.10,MiB,DURING
2025-04-03T16:08:59.915Z,12.65,684.90,MiB,DURING
2025-04-03T16:09:00.916Z,18.88,698.10,MiB,DURING
2025-04-03T16:09:01.916Z,4.72,702.50,MiB,DURING
2025-04-03T16:09:02.917Z,22.44,695.60,MiB,DURING
2025-04-03T16:09:03.918Z,69.92,724.80,MiB,DURING
2025-04-03T16:09:04.919Z,19.49,730.60,MiB,DURING
2025-04-03T16:09:05.920Z,33.47,751.20,MiB,DURING
2025-04-03T16:09:06.920Z,67.19,754.00,MiB,DURING
2025-04-03T16:09:07.921Z,10.16,659.00,MiB,DURING
2025-04-03T16:09:08.922Z,16.06,666.70,MiB,DURING
2025-04-03T16:09:09.923Z,27.21,670.10,MiB,DURING
2025-04-03T16:09:10.924Z,51.60,654.80,MiB,DURING
2025-04-03T16:09:11.925Z,30.84,652.90,MiB,DURING
2025-04-03T16:09:12.925Z,34.62,663.60,MiB,DURING
2025-04-03T16:09:13.926Z,15.75,673.40,MiB,DURING
2025-04-03T16:09:14.927Z,48.80,675.50,MiB,DURING
2025-04-03T16:09:15.928Z,19.66,681.70,MiB,DURING
2025-04-03T16:09:16.928Z,22.48,695.00,MiB,DURING
2025-04-03T16:09:17.929Z,1.12,690.40,MiB,DURING
2025-04-03T16:09:18.930Z,33.95,686.70,MiB,DURING
2025-04-03T16:09:19.931Z,13.78,691.30,MiB,DURING
2025-04-03T16:09:20.932Z,3.56,693.40,MiB,DURING
2025-04-03T16:09:21.933Z,31.48,692.50,MiB,DURING
2025-04-03T16:09:22.934Z,11.09,675.20,MiB,DURING
2025-04-03T16:09:23.934Z,19.76,723.10,MiB,DURING
2025-04-03T16:09:24.935Z,6.00,687.90,MiB,DURING
2025-04-03T16:09:25.935Z,30.96,700.90,MiB,DURING
2025-04-03T16:09:26.936Z,2.04,690.40,MiB,DURING
2025-04-03T16:09:27.937Z,28.23,692.90,MiB,DURING
2025-04-03T16:09:28.938Z,19.53,674.70,MiB,DURING
2025-04-03T16:09:29.939Z,29.03,599.20,MiB,DURING
2025-04-03T16:09:30.939Z,47.25,593.50,MiB,DURING
2025-04-03T16:09:31.940Z,21.29,597.80,MiB,DURING
2025-04-03T16:09:32.941Z,4.55,597.10,MiB,DURING
2025-04-03T16:09:33.942Z,24.84,607.70,MiB,DURING
2025-04-03T16:09:34.943Z,62.48,603.30,MiB,DURING
2025-04-03T16:09:35.944Z,18.42,612.70,MiB,DURING
2025-04-03T16:09:36.945Z,18.54,626.70,MiB,DURING
2025-04-03T16:09:37.946Z,13.52,637.20,MiB,DURING
2025-04-03T16:09:38.946Z,39.09,635.80,MiB,DURING
2025-04-03T16:09:39.947Z,66.50,613.10,MiB,DURING
2025-04-03T16:09:40.948Z,27.84,621.60,MiB,DURING
2025-04-03T16:09:41.949Z,12.56,631.80,MiB,DURING
2025-04-03T16:09:42.950Z,12.85,641.60,MiB,DURING
2025-04-03T16:09:43.951Z,14.98,664.60,MiB,DURING
2025-04-03T16:09:44.952Z,23.54,676.90,MiB,DURING
2025-04-03T16:09:45.953Z,32.60,669.70,MiB,DURING
2025-04-03T16:09:46.953Z,20.35,674.30,MiB,DURING
2025-04-03T16:09:47.954Z,23.75,695.10,MiB,DURING
2025-04-03T16:09:48.955Z,40.05,672.80,MiB,DURING
2025-04-03T16:09:49.956Z,16.41,660.10,MiB,DURING
2025-04-03T16:09:50.957Z,3.38,662.40,MiB,DURING
2025-04-03T16:09:51.958Z,25.20,675.20,MiB,DURING
2025-04-03T16:09:52.959Z,51.30,674.70,MiB,DURING
2025-04-03T16:09:53.960Z,5.31,670.50,MiB,DURING
2025-04-03T16:09:54.961Z,34.07,693.50,MiB,DURING
2025-04-03T16:09:55.962Z,23.69,719.50,MiB,DURING
2025-04-03T16:09:56.962Z,23.88,737.00,MiB,DURING
2025-04-03T16:09:57.962Z,22.59,697.30,MiB,DURING
2025-04-03T16:09:58.962Z,34.65,709.10,MiB,DURING
2025-04-03T16:09:59.962Z,32.45,719.80,MiB,DURING
2025-04-03T16:10:00.963Z,9.06,720.40,MiB,DURING
2025-04-03T16:10:01.964Z,53.56,724.70,MiB,DURING
2025-04-03T16:10:02.965Z,12.54,732.70,MiB,DURING
2025-04-03T16:10:03.966Z,9.47,741.20,MiB,DURING
2025-04-03T16:10:04.967Z,17.76,751.20,MiB,DURING
2025-04-03T16:10:05.968Z,27.69,764.80,MiB,DURING
2025-04-03T16:10:06.969Z,30.86,802.10,MiB,DURING
2025-04-03T16:10:07.969Z,83.95,712.70,MiB,DURING
2025-04-03T16:10:08.970Z,54.87,740.20,MiB,DURING
2025-04-03T16:10:09.971Z,37.54,699.70,MiB,DURING
2025-04-03T16:10:10.972Z,23.48,720.00,MiB,DURING
2025-04-03T16:10:11.973Z,7.16,722.30,MiB,DURING
2025-04-03T16:10:12.974Z,16.12,733.00,MiB,DURING
2025-04-03T16:10:13.974Z,21.85,751.30,MiB,DURING
2025-04-03T16:10:14.975Z,52.29,792.90,MiB,DURING
2025-04-03T16:10:15.976Z,111.64,748.90,MiB,DURING
2025-04-03T16:10:16.976Z,6.41,701.40,MiB,DURING
2025-04-03T16:10:17.977Z,71.64,744.10,MiB,DURING
2025-04-03T16:10:18.978Z,13.10,749.00,MiB,DURING
2025-04-03T16:10:19.979Z,8.74,733.50,MiB,DURING
2025-04-03T16:10:20.980Z,0.86,733.30,MiB,DURING
2025-04-03T16:10:21.981Z,15.79,744.80,MiB,DURING
2025-04-03T16:10:22.981Z,19.33,770.80,MiB,DURING
2025-04-03T16:10:23.982Z,86.57,824.00,MiB,DURING
2025-04-03T16:10:24.983Z,101.51,927.30,MiB,DURING
2025-04-03T16:10:25.984Z,82.61,702.20,MiB,DURING
2025-04-03T16:10:26.985Z,51.06,714.40,MiB,DURING
2025-04-03T16:10:27.986Z,15.88,723.90,MiB,DURING
2025-04-03T16:10:28.987Z,48.14,765.10,MiB,DURING
2025-04-03T16:10:29.988Z,56.39,830.80,MiB,DURING
2025-04-03T16:10:30.990Z,55.76,800.80,MiB,DURING
2025-04-03T16:10:31.992Z,56.39,757.10,MiB,DURING
2025-04-03T16:10:32.993Z,20.38,756.80,MiB,DURING
2025-04-03T16:10:33.994Z,27.86,758.90,MiB,DURING
2025-04-03T16:10:34.994Z,26.60,768.90,MiB,DURING
2025-04-03T16:10:35.993Z,26.03,774.30,MiB,DURING
2025-04-03T16:10:36.993Z,22.53,787.10,MiB,DURING
2025-04-03T16:10:37.994Z,17.56,789.40,MiB,DURING
2025-04-03T16:10:38.994Z,34.79,792.80,MiB,DURING
2025-04-03T16:10:39.995Z,20.10,776.10,MiB,DURING
2025-04-03T16:10:40.996Z,14.27,778.30,MiB,DURING
2025-04-03T16:10:41.997Z,18.38,813.90,MiB,DURING
2025-04-03T16:10:42.997Z,11.18,762.30,MiB,DURING
2025-04-03T16:10:43.998Z,44.98,785.00,MiB,DURING
2025-04-03T16:10:44.999Z,18.92,809.70,MiB,DURING
2025-04-03T16:10:45.999Z,20.18,789.80,MiB,DURING
2025-04-03T16:10:47.000Z,24.06,804.10,MiB,DURING
2025-04-03T16:10:48.001Z,29.35,825.50,MiB,DURING
2025-04-03T16:10:49.001Z,34.31,852.50,MiB,DURING
2025-04-03T16:10:50.002Z,64.96,747.70,MiB,DURING
2025-04-03T16:10:51.003Z,9.71,743.40,MiB,DURING
2025-04-03T16:10:52.004Z,3.90,744.40,MiB,DURING
2025-04-03T16:10:53.005Z,47.62,757.50,MiB,DURING
2025-04-03T16:10:54.006Z,39.79,780.20,MiB,DURING
2025-04-03T16:10:55.007Z,31.70,793.30,MiB,DURING
2025-04-03T16:10:56.008Z,27.52,813.80,MiB,DURING
2025-04-03T16:10:57.009Z,26.88,870.10,MiB,DURING
2025-04-03T16:10:58.010Z,45.74,818.90,MiB,DURING
2025-04-03T16:10:59.011Z,48.46,843.40,MiB,DURING
2025-04-03T16:11:00.011Z,84.76,799.50,MiB,DURING
2025-04-03T16:11:01.012Z,51.80,733.80,MiB,DURING
2025-04-03T16:11:02.013Z,29.36,750.40,MiB,DURING
2025-04-03T16:11:03.014Z,41.17,841.70,MiB,DURING
2025-04-03T16:11:04.013Z,22.18,809.20,MiB,DURING
2025-04-03T16:11:05.014Z,13.15,820.60,MiB,DURING
2025-04-03T16:11:06.015Z,52.73,868.20,MiB,DURING
2025-04-03T16:11:07.016Z,69.69,930.60,MiB,DURING
2025-04-03T16:11:08.016Z,54.06,840.90,MiB,DURING
2025-04-03T16:11:09.017Z,56.17,810.00,MiB,DURING
2025-04-03T16:11:10.018Z,15.84,818.20,MiB,DURING
2025-04-03T16:11:11.019Z,12.85,810.80,MiB,DURING
2025-04-03T16:11:12.020Z,9.06,824.90,MiB,DURING
2025-04-03T16:11:13.021Z,40.98,851.50,MiB,DURING
2025-04-03T16:11:14.022Z,17.49,862.40,MiB,DURING
2025-04-03T16:11:15.023Z,101.46,823.50,MiB,DURING
2025-04-03T16:11:16.024Z,11.93,825.40,MiB,DURING
2025-04-03T16:11:17.025Z,42.94,856.00,MiB,DURING
2025-04-03T16:11:18.024Z,16.67,863.30,MiB,DURING
2025-04-03T16:11:19.024Z,47.93,912.20,MiB,DURING
2025-04-03T16:11:20.025Z,22.08,895.40,MiB,DURING
2025-04-03T16:11:21.026Z,16.90,874.00,MiB,DURING
2025-04-03T16:11:22.027Z,62.49,863.30,MiB,DURING
2025-04-03T16:11:23.028Z,8.42,862.00,MiB,DURING
2025-04-03T16:11:24.028Z,60.30,935.00,MiB,DURING
2025-04-03T16:11:25.029Z,13.48,917.30,MiB,DURING
2025-04-03T16:11:26.030Z,1.48,916.10,MiB,DURING
2025-04-03T16:11:27.030Z,14.11,926.20,MiB,DURING
2025-04-03T16:11:28.031Z,25.59,936.60,MiB,DURING
2025-04-03T16:11:29.032Z,49.92,989.90,MiB,DURING
2025-04-03T16:11:30.032Z,107.23,907.60,MiB,DURING
2025-04-03T16:11:31.032Z,41.67,818.80,MiB,DURING
2025-04-03T16:11:32.033Z,61.43,846.30,MiB,DURING
2025-04-03T16:11:33.034Z,14.71,850.60,MiB,DURING
2025-04-03T16:11:34.035Z,1.39,851.30,MiB,DURING
2025-04-03T16:11:35.035Z,13.65,858.90,MiB,DURING
2025-04-03T16:11:36.036Z,13.01,869.00,MiB,DURING
2025-04-03T16:11:37.036Z,14.87,878.70,MiB,DURING
2025-04-03T16:11:38.035Z,65.33,945.80,MiB,DURING
2025-04-03T16:11:39.036Z,96.60,1.00,GiB,DURING
2025-04-03T16:11:40.037Z,96.75,1.10,GiB,DURING
2025-04-03T16:11:41.038Z,106.60,1.02,GiB,DURING
2025-04-03T16:11:42.039Z,131.41,711.80,MiB,DURING
2025-04-03T16:11:43.040Z,0.72,712.30,MiB,DURING
2025-04-03T16:11:44.041Z,64.77,772.10,MiB,DURING
2025-04-03T16:11:45.041Z,38.22,763.60,MiB,DURING
2025-04-03T16:11:46.042Z,4.88,755.70,MiB,DURING
2025-04-03T16:11:47.042Z,14.60,764.80,MiB,DURING
2025-04-03T16:11:48.043Z,38.98,799.70,MiB,DURING
2025-04-03T16:11:49.043Z,28.76,844.10,MiB,DURING
2025-04-03T16:11:50.043Z,76.23,746.30,MiB,DURING
2025-04-03T16:11:51.044Z,32.45,728.20,MiB,DURING
2025-04-03T16:11:52.045Z,35.51,745.70,MiB,DURING
2025-04-03T16:11:53.045Z,20.27,763.90,MiB,DURING
2025-04-03T16:11:54.045Z,25.27,777.90,MiB,DURING
2025-04-03T16:11:55.046Z,12.03,789.50,MiB,DURING
2025-04-03T16:11:56.046Z,33.49,814.10,MiB,DURING
2025-04-03T16:11:57.047Z,38.55,761.50,MiB,DURING
2025-04-03T16:11:58.048Z,18.63,761.10,MiB,DURING
2025-04-03T16:11:59.049Z,40.48,785.60,MiB,DURING
2025-04-03T16:12:00.050Z,18.87,831.90,MiB,DURING
2025-04-03T16:12:01.050Z,32.90,772.80,MiB,DURING
2025-04-03T16:12:02.051Z,7.89,771.80,MiB,DURING
2025-04-03T16:12:03.052Z,40.37,782.90,MiB,DURING
2025-04-03T16:12:04.053Z,20.99,803.30,MiB,DURING
2025-04-03T16:12:05.054Z,42.63,654.00,MiB,DURING
2025-04-03T16:12:06.055Z,25.28,654.60,MiB,DURING
2025-04-03T16:12:07.056Z,10.58,655.10,MiB,DURING
2025-04-03T16:12:08.056Z,9.21,665.20,MiB,DURING
2025-04-03T16:12:09.056Z,13.39,675.00,MiB,DURING
2025-04-03T16:12:10.057Z,26.40,685.70,MiB,DURING
2025-04-03T16:12:11.058Z,25.54,678.80,MiB,DURING
2025-04-03T16:12:12.059Z,35.32,646.00,MiB,DURING
2025-04-03T16:12:13.060Z,77.96,623.10,MiB,DURING
2025-04-03T16:12:14.061Z,44.05,640.30,MiB,DURING
2025-04-03T16:12:15.061Z,20.54,658.70,MiB,DURING
2025-04-03T16:12:16.062Z,46.48,700.30,MiB,DURING
2025-04-03T16:12:17.062Z,71.37,762.80,MiB,DURING
2025-04-03T16:12:18.063Z,40.05,826.10,MiB,DURING
2025-04-03T16:12:19.064Z,54.46,695.50,MiB,DURING
2025-04-03T16:12:20.065Z,47.59,706.80,MiB,DURING
2025-04-03T16:12:21.066Z,33.61,685.80,MiB,DURING
2025-04-03T16:12:22.067Z,25.50,709.00,MiB,DURING
2025-04-03T16:12:23.068Z,79.70,750.80,MiB,DURING
2025-04-03T16:12:24.069Z,56.34,743.10,MiB,DURING
2025-04-03T16:12:25.069Z,24.12,741.90,MiB,DURING
2025-04-03T16:12:26.069Z,14.16,753.00,MiB,DURING
2025-04-03T16:12:27.070Z,11.65,762.20,MiB,DURING
2025-04-03T16:12:28.071Z,33.66,747.80,MiB,DURING
2025-04-03T16:12:29.072Z,29.43,752.10,MiB,DURING
2025-04-03T16:12:30.072Z,31.57,773.00,MiB,DURING
2025-04-03T16:12:31.073Z,28.96,777.50,MiB,DURING
2025-04-03T16:12:32.073Z,30.00,686.70,MiB,DURING
2025-04-03T16:12:33.074Z,22.37,705.10,MiB,DURING
2025-04-03T16:12:34.074Z,24.80,731.60,MiB,DURING
2025-04-03T16:12:35.075Z,20.59,742.70,MiB,DURING
2025-04-03T16:12:36.076Z,82.05,689.10,MiB,DURING
2025-04-03T16:12:37.077Z,3.95,684.70,MiB,DURING
2025-04-03T16:12:38.077Z,45.31,700.20,MiB,DURING
